iter	Passed	Remaining
164	807	4088
165	811	4079
166	815	4067
167	818	4055
168	822	4043
169	826	4034
170	829	4023
171	833	4013
172	836	3999
173	840	3989
174	844	3979
175	848	3971
176	850	3956
177	854	3945
178	858	3935
179	862	3927
180	865	3917
181	869	3909
182	873	3899
183	876	3887
184	880	3880
185	883	3867
186	886	3856
187	890	3845
188	893	3832
189	896	3823
190	900	3813
191	905	3809
192	909	3801
193	913	3795
194	918	3792
195	922	3785
196	925	3774
197	929	3763
198	933	3756
199	937	3750
200	941	3744
201	945	3735
202	949	3728
203	953	3722
204	957	3713
205	962	3709
206	965	3700
207	969	3691
208	972	3680
209	975	3670
210	979	3663
211	983	3657
212	988	3652
213	991	3643
214	995	3636
215	999	3626
216	1002	3618
217	1006	3610
218	1010	3604
219	1013	3593
220	1016	3584
221	1020	3577
222	1024	3569
223	1027	3558
224	1030	3550
225	1034	3541
226	1037	3533
227	1042	3529
228	1047	3525
229	1050	3518
230	1054	3509
231	1057	3501
232	1060	3492
233	1064	3485
234	1068	3477
235	1073	3475
236	1077	3468
237	1081	3461
238	1085	3454
239	1088	3447
240	1092	3441
241	1096	3434
242	1100	3428
243	1106	3426
244	1109	3420
245	1113	3414
246	1117	3408
247	1122	3404
248	1126	3396
249	1129	3388
250	1132	3380
251	1135	3371
252	1140	3368
253	1144	3361
254	1148	3354
255	1151	3346
256	1154	3337
257	1157	3330
258	1160	3321
259	1164	3312
260	1168	3307
261	1171	3299
262	1175	3293
263	1179	3289
264	1183	3282
265	1186	3275
266	1190	3269
267	1194	3263
268	1199	3258
269	1202	3250
270	1205	3243
271	1208	3235
272	1212	3229
273	1217	3225
274	1222	3222
275	1225	3214
276	1229	3208
277	1233	3202
278	1237	3197
279	1242	3194
280	1245	3186
281	1249	3180
282	1253	3174
283	1259	3174
284	1263	3170
285	1269	3168
286	1273	3163
287	1277	3158
288	1282	3156
289	1286	3150
290	1289	3142
291	1294	3139
292	1299	3135
293	1302	3128
294	1305	3120
295	1309	3114
296	1312	3107
297	1316	3100
298	1319	3094
299	1323	3088
300	1329	3086
301	1333	3082
302	1337	3075
303	1342	3074
304	1347	3070
305	1352	3066
306	1355	3059
307	1359	3054
308	1365	3054
309	1369	3048
310	1373	3043
311	1377	3038
312	1380	3030
313	1386	3029
314	1390	3023
315	1402	3034
316	1406	3031
317	1412	3028
318	1418	3027
319	1423	3025
320	1427	3019
321	1431	3014
322	1435	3008
323	1439	3003
324	1443	2997
325	1447	2993
326	1452	2988
327	1455	2982
328	1460	2977
329	1464	2973
330	1468	2968
331	1472	2963
332	1477	2958
333	1480	2951
334	1484	2946
335	1487	2939
336	1492	2936
337	1495	2929
338	1498	2922
339	1504	2921
340	1508	2915
341	1512	2909
342	1516	2904
343	1520	2898
344	1523	2893
345	1527	2887
346	1531	2882
347	1535	2877
348	1539	2872
349	1543	2866
350	1547	2860
351	1550	2855
352	1554	2849
353	1558	2843
354	1562	2838
355	1568	2836
356	1572	2832
357	1575	2825
358	1579	2819
359	1583	2815
360	1589	2812
361	1593	2809
362	1597	2803
363	1601	2798
364	1605	2793
365	1610	2789
366	1614	2785
367	1621	2784
368	1624	2777
369	1628	2772
370	1632	2767
371	1637	2765
372	1641	2759
373	1645	2753
374	1648	2747
375	1653	2743
376	1656	2737
377	1659	2731
378	1663	2726
379	1666	2719
380	1670	2713
381	1674	2709
382	1678	2704
383	1682	2698
384	1686	2693
385	1691	2690
386	1695	2685
387	1698	2679
388	1702	2674
389	1707	2670
390	1711	2665
391	1714	2659
392	1718	2654
393	1721	2648
394	1726	2644
395	1730	2638
396	1733	2633
397	1737	2628
398	1741	2622
399	1744	2616
400	1747	2610
401	1751	2605
402	1754	2599
403	1757	2593
404	1761	2587
405	1765	2582
406	1769	2577
407	1773	2572
408	1777	2567
409	1780	2562
410	1789	2563
411	1793	2560
412	1798	2555
413	1802	2551
414	1806	2546
415	1810	2541
416	1814	2536
417	1817	2530
418	1821	2526
419	1825	2520
420	1829	2516
421	1834	2512
422	1838	2507
423	1842	2502
424	1846	2497
